"periodo_codigo";"periodo";"sexo";"variavel";"taxa_desocupacao"
"201904";"4º trimestre 2019";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,1"
"202001";"1º trimestre 2020";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,4"
"202001";"1º trimestre 2020";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,9"
"202001";"1º trimestre 2020";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,4"
"202002";"2º trimestre 2020";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"202002";"2º trimestre 2020";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"15,5"
"202002";"2º trimestre 2020";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,6"
"202003";"3º trimestre 2020";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,9"
"202003";"3º trimestre 2020";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"17,5"
"202003";"3º trimestre 2020";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,9"
"202004";"4º trimestre 2020";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"202004";"4º trimestre 2020";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"17,2"
"202004";"4º trimestre 2020";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,2"
"202101";"1º trimestre 2021";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"202101";"1º trimestre 2021";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"18,5"
"202101";"1º trimestre 2021";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,9"
"202102";"2º trimestre 2021";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,6"
"202102";"2º trimestre 2021";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"17,7"
"202102";"2º trimestre 2021";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,2"
"202103";"3º trimestre 2021";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,1"
"202103";"3º trimestre 2021";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"15,9"
