fator,nivel,dezena,p_media,p_hdi95_inf,p_hdi95_sup,ocorr_esperadas_100_concursos_media,delta_100_media,delta_100_hdi95_inf,delta_100_hdi95_sup,prob_delta_100_maior_0,prob_abs_delta_100_gt_1,prob_abs_delta_100_gt_2,prob_abs_delta_100_gt_3,razao_media,razao_hdi95_inf,razao_hdi95_sup,contagem_observada,n_slots_nivel,abs_delta_100_media
faixa_temporal,1996-1999,11,0.012072568024297979,0.006260976032909585,0.018222572027306597,7.243540814578788,-3.173865059225609,-6.661638320499706,0.7942765761189651,0.0608,0.8916,0.752,0.572,0.697427790912488,0.36447850472370225,1.0650641245940258,14,1200,3.173865059225609
faixa_temporal,2025-2026,41,0.012027187089307851,0.0066543727980490726,0.017965247454745193,7.216312253584711,-3.1079273777543532,-6.7487790244715615,0.5314388681440095,0.0592,0.8868,0.7384,0.552,0.7011229421842189,0.3440552126847318,1.0275504337576906,14,1182,3.1079273777543532
faixa_temporal,1996-1999,48,0.010339590532038485,0.005086730111510096,0.015476708890443908,6.2037543192230915,-3.0792549233343043,-6.182282923585324,0.4684972462046987,0.0496,0.8896,0.7552,0.56,0.6709031026652442,0.3151460428357028,1.0099919898444614,12,1200,3.0792549233343043
faixa_temporal,1996-1999,13,0.02222624854953342,0.013869764475849396,0.03051535465357489,13.335749129720051,3.0336293497252327,-1.7776720727929007,8.514229324750639,0.8788,0.8352,0.6524,0.492,1.2989984218822799,0.8101763216766767,1.8335522214942845,27,1200,3.0336293497252327
faixa_temporal_metade_concursos,segunda_metade,46,0.020249146005568566,0.017300601468632836,0.023056180404552838,12.14948760334114,1.6087648237028518,-0.3997024317722017,3.7261455587058614,0.9324,0.7208,0.356,0.0916,1.1562299111327714,0.9703900307994358,1.386487103771434,183,9024,1.6087648237028518
faixa_temporal_metade_concursos,primeira_metade,46,0.014902700167359072,0.012458602199245456,0.0173795201539643,8.941620100415443,-1.599102679222845,-3.6187552853054674,0.14652582933173605,0.0452,0.7356,0.3416,0.074,0.8509004526722594,0.67787724819123,1.0129370695674171,134,9018,1.599102679222845
faixa_temporal_metade_concursos,primeira_metade,10,0.017405378321786496,0.014865006139532257,0.02015810552842008,10.443226993071898,-1.2829104052973435,-3.4230813711530033,0.6791230232585176,0.102,0.6272,0.238,0.0516,0.8931397586142044,0.7203508015832223,1.0514446660622292,157,9018,1.2829104052973435
faixa_temporal_metade_concursos,segunda_metade,10,0.021616494925911754,0.018934607981763538,0.02482276293914903,12.969896955547052,1.2437595571778115,-0.9513550399906902,3.2633705780498694,0.8608,0.606,0.2484,0.0504,1.109052156397919,0.9193440035041238,1.288387480782768,196,9024,1.2437595571778115
faixa_temporal_metade_concursos,segunda_metade,35,0.01937771704881339,0.01662253598196205,0.022082436042533654,11.626630229288034,1.1654101769408916,-0.7933092765007297,3.2411599238419893,0.8724,0.5716,0.21,0.0384,1.1150656277913622,0.9192550445656038,1.3178679167549279,175,9024,1.1654101769408916
faixa_temporal_metade_concursos,primeira_metade,12,0.017404675176236017,0.014705461241965215,0.019970391246972148,10.442805105741611,1.1546672887900198,-0.5873866483534319,3.2078899522037405,0.8792,0.5652,0.1932,0.0364,1.128198088507215,0.9376967843896536,1.3665793325209532,157,9018,1.1546672887900198
faixa_temporal_metade_concursos,primeira_metade,35,0.015577285499347036,0.013059479314222532,0.018133821307494424,9.346371299608222,-1.1148487527389217,-2.9872443991836106,0.8275247091156873,0.1208,0.5672,0.1776,0.024,0.8962760555726218,0.7340299434750721,1.0864008269682834,140,9018,1.1148487527389217
