fator,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
ano,"z_delta[14,50]",0.0282389619740675,0.041678155,0.9577761457332215,0.962033906148,-1.5568180049999998,1.6175861849999997,1.0000832808748457,7440.629210232864,2680.38392225116
ano,"z_delta[15,50]",0.0520651172543225,0.023587397,0.9984758451225396,0.9938892498989998,-1.585057825,1.7246406599999993,1.0034408672993695,8006.8636113539915,2498.722764409313
ano,"z_delta[16,50]",0.0320895293491925,0.040940709000000006,0.9957879966977997,1.0202547245184002,-1.571238695,1.6777035049999998,0.9995618104293331,7209.911999560551,2620.110506324702
ano,"z_delta[17,50]",0.03978680030718,0.048977660000000006,0.9746612802237004,0.9869304666479999,-1.5664329999999997,1.6281260599999974,1.0009700170322655,6425.552508523883,3051.5927351811138
ano,"z_delta[18,50]",0.074397925569105,0.06436619099999999,0.9926831792519383,0.9634571265354,-1.5798336050000001,1.682773854999999,1.001112427816015,7886.559515822281,2647.049410927712
ano,"z_delta[19,50]",-0.10910742024112675,-0.111974005,1.0211685199934835,1.0594119118169998,-1.74049666,1.5533146449999997,1.0006322591588694,7729.602477332712,3038.2282212112636
ano,"z_delta[20,50]",0.0080379336047425,0.0084468318,1.0011269741375526,0.98649167160768,-1.6391348899999998,1.6654811399999996,1.002213386732675,6704.405408594196,2858.8749851012544
ano,"z_delta[21,50]",0.07107822345632,0.058703701,1.0048512958897542,0.9730314385764,-1.5851725,1.7467701400000002,1.0008774464686083,6887.494093188678,2826.5887643292185
ano,"z_delta[22,50]",-0.048687262848795,-0.057290047999999996,0.9798806623828735,0.9571122820139999,-1.67409123,1.5731384199999987,1.0015105959926427,6298.538247658392,2616.2502396764485
ano,"z_delta[23,50]",-0.076572644543745,-0.06833808450000001,0.9882039417033175,0.9930961767656998,-1.670666695,1.5512497649999997,1.0008750283972894,7010.882013586481,2835.640639655625
ano,"z_delta[24,50]",-0.035677362376465,-0.0402223285,0.9730553559289817,0.9838847244029999,-1.6048751499999998,1.5540377949999997,1.0014596820553863,6750.175509727738,3073.236328203569
ano,"z_delta[25,50]",-0.085767156386555,-0.0686737365,1.000628273585016,0.9766764470001,-1.74440636,1.5712895449999995,1.0022361992584117,8198.115286388882,2782.2994712616514
ano,"z_delta[26,50]",-0.09368340179521249,-0.08879656550000001,0.9943088165295797,0.9735982817757,-1.75535493,1.547615135,1.0022210836498635,7304.953395325553,2698.724495087808
ano,"z_delta[27,50]",-0.1223891061148575,-0.12256636500000001,0.9771492009971786,1.008049221501,-1.72996359,1.47139343,1.0018643433168102,5831.927096284421,2465.004479212328
ano,"z_delta[28,50]",0.032016205334055,0.0327582855,0.9664179063143388,0.9716363660913,-1.5728438249999999,1.6171181649999988,1.0006212210956271,6990.865658007414,3085.0498182328374
ano,"z_delta[29,50]",0.094039499794845,0.105678685,1.0032076817654094,1.0245422717669999,-1.56554889,1.7293201299999994,1.0026385335959362,7261.485246318636,2674.911472882685
ano,"z_delta[30,50]",0.0069430523569325,-0.015900141,0.9843381230313556,0.9599805852083999,-1.56796352,1.6730055949999982,1.0008332243826603,6714.049718231812,2917.4968338121676
ano,"z_delta[31,50]",0.0253368820266075,0.02622579,0.9524557115925674,0.979712421135,-1.554075195,1.5889994599999993,1.0038601753956762,8513.393463739565,2778.7293792565843
ano,"z_delta[1,51]",0.053421746018155,0.060364386500000006,0.9998015328072686,1.0304105085729,-1.584824185,1.6561536799999996,0.9999080107141944,7464.190584789825,3084.3468576276164
ano,"z_delta[2,51]",0.0201037066531525,0.017240196,0.9938693503314591,0.9837510917346001,-1.62254152,1.6677309949999999,1.0010346686564155,8557.222032646581,2717.6448561624966
ano,"z_delta[3,51]",0.013987935781837501,0.0163132245,1.00479640306749,1.03721925048,-1.60606984,1.6512008549999997,0.9995956177832417,7079.736366903992,2662.397976010573
ano,"z_delta[4,51]",0.094585259220915,0.07863722149999999,1.0037833462027779,0.99177311268,-1.539325575,1.7621202749999998,1.0008789992016534,7981.466887998263,2549.886391490754
ano,"z_delta[5,51]",-0.0017404872066492493,-0.00263929605,0.9577528693944112,0.95339380416273,-1.57478324,1.5976475649999993,1.0009045220457957,7787.2024342684435,3206.315215496579
ano,"z_delta[6,51]",-0.129094513642015,-0.115024185,0.9706431332858013,0.956380774587,-1.7476991249999998,1.4602463249999997,1.0006418434218651,7220.040740208681,2841.787363456373
ano,"z_delta[7,51]",0.031240139170525,0.02781648,1.0026905199671885,1.018296033489,-1.6088175599999999,1.657184415,0.9996243039685715,8280.64488709594,3041.0966624462208
ano,"z_delta[8,51]",0.04461311293429875,0.0646718485,1.0007117142999726,0.9678940679729998,-1.6036673549999998,1.6630158199999998,1.0004136710318212,7385.098636291947,2853.0057675056287
ano,"z_delta[9,51]",0.0055446746504875,-0.0037365564,0.9709158135526459,0.9674239037853599,-1.567496805,1.5994133649999998,1.0059197615596727,7750.37973251438,2490.898594980473
ano,"z_delta[10,51]",0.0704659640874375,0.044038203,0.9780973516324118,1.0101751038498,-1.49281103,1.7033750099999998,1.0008571908417663,6749.792277104534,3035.2053168303228
ano,"z_delta[11,51]",-0.04358433779612,-0.044392989,0.990805626836173,0.9925782074753998,-1.6936245049999998,1.5884346999999985,1.0011367186943914,6212.634244369427,2743.5779206990005
ano,"z_delta[12,51]",0.17602175016866,0.16841391,1.0140163450419666,1.017147774615,-1.5088240149999999,1.8784442350000001,1.0020567770110316,6010.214654004027,2610.0097703424894
